,08:21,08:01,08:31,09:01,08:11,08:41,09:21,09:11,08:51,10:01,09:31,10:21,10:11,09:41,09:51,10:51,11:01,10:31,10:41,11:51,11:11,11:21,11:31,12:21,12:11,11:41,13:41,13:11,13:21,12:01,12:41,12:31,13:31,12:51,13:01,14:21,15:01,14:01,14:11,13:51,17:41,14:31,17:31,17:01,15:21,15:31,15:11,16:01,15:41,18:41,16:31,18:31,14:41,14:51,16:11,16:51,15:51,16:21,17:11,19:11,16:41,18:11,19:31,18:21,21:21,17:21,19:01,18:01,19:51,23:01,17:51,18:51,21:11,19:41,20:01,19:21,21:01,20:51,20:21,20:41,20:31,20:11,21:51,22:01,23:11,22:21,23:41,21:41,21:31,22:11,01:01,22:41,23:31,22:31,23:51,23:21,01:51,00:31,22:51,00:51,01:41,00:21,00:01,01:21,02:21,03:51,01:11,00:41,01:31,02:11,02:01,03:21,03:41,00:11,03:01,02:51,02:41,02:31,05:21,05:31,03:11,04:41,06:01,04:01,04:51,04:31,04:11,05:11,05:51,07:41,03:31,05:01,04:21,06:51,07:51,05:41,06:31,06:41,07:11,07:31,06:21,07:01,06:11,07:21
anger,18,14,7,19,13,12,12,12,12,12,12,6,15,6,11,10,11,10,16,14,12,13,13,5,7,5,5,10,5,8,10,8,12,6,5,8,10,12,7,9,6,6,7,8,9,6,6,13,6,14,11,11,8,9,8,3,10,5,14,6,6,10,13,8,21,8,4,6,10,20,10,8,6,9,12,14,15,6,8,11,10,13,18,13,13,19,23,16,17,23,13,25,18,22,21,26,18,15,16,26,23,21,20,10,19,25,18,19,22,22,14,20,16,25,17,18,22,18,21,13,14,21,8,21,23,20,11,17,14,11,21,15,16,15,13,15,23,17,11,8,22,14,14,10
happy,117,129,109,133,106,114,108,130,93,101,114,110,108,109,118,94,124,110,111,102,96,108,100,90,83,102,98,92,95,94,72,97,81,110,88,87,92,83,87,63,94,112,78,66,70,91,83,86,85,103,98,80,81,109,71,93,103,78,84,113,71,90,79,100,127,73,89,108,106,203,74,89,126,92,100,111,115,141,110,134,111,136,182,162,183,170,206,136,148,158,176,171,181,157,181,208,174,195,179,176,165,185,213,187,182,167,188,179,188,166,183,158,175,179,168,190,177,190,198,163,171,166,153,176,163,181,153,151,177,114,165,189,154,145,149,179,140,125,121,144,132,123,169,116
hate,31,30,32,29,22,16,27,18,33,26,19,22,20,27,19,27,13,18,25,39,18,13,22,22,19,18,12,23,23,23,24,15,20,28,23,22,26,16,24,27,26,15,26,26,24,17,24,16,21,30,21,14,18,18,25,16,26,17,22,30,13,27,30,23,19,20,22,35,23,38,15,21,33,22,34,33,28,23,39,28,27,26,33,48,51,43,53,34,30,34,51,50,64,55,45,48,34,34,48,36,39,39,43,39,46,66,30,48,40,46,43,58,36,61,44,47,43,34,43,41,56,37,45,45,34,40,39,48,40,42,46,45,34,26,26,37,31,38,35,28,33,29,36,22
neutral,332,331,330,361,342,369,286,336,326,289,350,297,275,292,294,286,268,323,309,285,284,289,285,228,278,280,247,262,269,283,264,254,260,254,262,248,264,235,233,218,261,240,237,245,243,220,237,239,245,306,234,277,271,255,252,237,218,230,275,327,248,281,328,287,434,236,304,271,342,562,274,298,376,331,340,328,399,397,379,378,383,323,445,465,510,518,584,484,442,502,495,560,517,590,561,562,517,582,524,507,505,565,574,512,539,531,548,541,527,538,539,476,547,531,506,538,462,517,453,459,525,481,426,512,542,511,520,499,463,345,546,464,505,403,347,470,396,427,419,387,385,383,391,429
sad,189,205,180,140,192,190,158,186,164,186,155,168,162,186,157,158,159,156,159,149,170,133,143,137,144,125,123,139,133,132,128,147,131,145,130,118,136,114,150,146,126,127,141,146,133,144,107,150,117,149,122,163,124,133,135,139,134,146,158,143,124,155,184,170,239,128,192,150,174,256,147,150,213,177,171,191,193,210,207,218,200,199,240,268,300,298,321,245,223,262,302,296,304,286,299,296,256,287,294,249,308,266,327,334,287,286,293,299,325,247,296,284,312,279,309,290,269,310,266,232,309,279,265,291,279,270,266,262,273,216,306,280,267,223,181,256,193,233,200,227,245,237,246,210
