,08:01,08:11,08:21,08:31,08:41,08:51,09:11,09:01,09:21,09:41,09:31,09:51,10:11,10:01,10:21,10:31,11:01,10:41,10:51,11:21,11:11,11:31,12:11,12:01,12:41,12:51,13:11,11:41,13:01,12:31,13:51,12:21,11:51,14:21,13:21,13:41,14:41,14:11,14:51,15:01,15:21,16:51,14:31,13:31,15:11,15:31,14:01,16:11,16:31,16:21,16:41,18:01,18:21,17:01,17:21,18:11,19:11,15:51,19:31,19:51,15:41,17:51,18:31,16:01,17:31,17:41,20:11,19:01,20:31,20:41,20:51,18:41,18:51,21:01,21:11,19:21,17:11,20:21,19:41,21:51,21:31,21:41,20:01,22:11,22:21,22:31,21:21,22:41,22:01,22:51,23:01,23:21,23:41,23:51,00:01,00:31,00:41,00:21,23:31,23:11,00:51,01:11,01:01,00:11,01:31,01:41,01:51,02:01,02:21,01:21,03:21,03:01,03:41,03:51,02:11,03:31,02:51,04:21,02:31,03:11,04:01,05:01,05:11,05:21,05:31,06:11,02:41,06:41,06:51,07:01,05:41,05:51,04:11,07:11,06:01,04:51,06:21,07:41,04:31,04:41,07:31,06:31,07:51,07:21
anger,14,17,16,17,9,18,6,10,10,9,5,8,13,22,11,7,5,8,6,10,10,13,10,9,5,6,8,9,5,7,9,6,6,4,12,8,7,7,3,7,10,4,2,7,3,4,8,10,8,2,10,6,5,5,8,6,11,9,9,12,6,9,6,10,13,10,8,5,9,13,15,7,8,14,8,5,5,5,3,14,9,20,7,13,10,15,12,12,10,11,17,20,17,24,17,18,16,18,15,19,13,17,12,17,13,20,21,35,16,19,13,17,11,15,18,14,19,17,13,15,17,15,16,9,11,18,10,14,14,10,15,19,19,8,27,17,16,10,20,20,11,21,17,6
happy,113,113,124,135,122,118,112,127,121,110,118,109,108,81,98,96,86,109,109,109,107,86,84,90,76,65,85,117,78,86,85,89,104,84,91,81,75,74,85,69,87,80,108,80,88,87,79,83,75,62,88,82,80,74,87,76,103,82,103,112,81,75,90,79,92,87,117,91,133,120,112,92,98,126,139,112,87,99,94,142,130,122,118,151,167,169,137,170,158,146,159,168,186,135,190,183,202,192,167,158,190,201,187,223,206,208,176,220,159,195,194,173,191,162,164,172,191,168,165,175,169,177,148,177,140,170,170,154,139,138,156,155,166,139,144,163,144,126,175,176,124,158,137,146
hate,45,33,28,17,29,34,31,15,35,44,30,24,35,41,31,27,17,21,48,27,21,29,21,16,18,25,33,17,16,20,27,32,19,22,23,23,29,31,18,17,22,15,19,14,15,23,20,12,16,23,20,25,27,37,23,13,27,21,31,31,19,18,16,13,27,21,21,31,33,37,37,30,24,32,39,34,23,27,32,33,36,35,25,48,35,43,46,45,39,42,35,40,49,42,43,55,63,43,49,39,59,55,59,58,55,60,45,44,45,72,44,52,65,50,41,55,54,57,51,50,47,46,44,41,43,54,48,43,29,35,50,53,42,38,47,38,44,38,49,36,33,32,30,33
neutral,348,297,319,343,312,355,318,362,296,299,273,317,275,312,304,262,255,270,276,238,230,236,232,229,214,210,230,252,244,239,228,235,268,205,223,201,235,218,243,229,243,215,225,240,214,234,212,263,232,223,192,273,268,219,246,244,286,279,294,289,239,225,262,227,231,251,310,283,340,338,355,275,243,371,378,286,237,310,313,432,398,433,281,446,459,453,442,476,455,445,470,478,460,455,515,547,562,562,470,441,581,648,551,548,530,550,557,529,543,549,568,509,471,497,544,516,542,453,505,456,489,479,538,414,445,425,516,451,394,385,433,445,457,391,427,511,440,365,520,476,359,417,343,362
sad,174,203,202,178,194,195,165,181,198,164,170,170,155,173,166,171,148,164,158,179,141,161,131,130,135,131,140,154,145,143,127,127,168,125,117,116,117,136,115,127,133,132,129,117,130,122,128,123,128,130,120,128,137,107,137,124,140,126,154,155,144,141,140,133,110,124,156,130,202,206,237,143,119,197,223,161,126,207,172,243,217,242,170,254,242,238,217,238,246,242,250,244,281,291,341,337,347,317,262,252,335,401,318,341,294,327,335,317,272,338,312,291,299,299,324,273,297,280,338,285,313,240,272,235,257,221,256,247,258,207,240,284,289,213,300,286,252,188,260,282,194,246,249,193
