TIME,SCORE,EMOTION
07:58:,6,sad
08:30:,3,neutral
05:24:,14,sad
10:06:,1,sad
15:02:,2,hate
06:53:,1,sad
07:39:,10,sad
06:45:,2,neutral
05:39:,1,neutral
23:45:,2,happy
10:34:,1,neutral
11:54:,8,neutral
19:33:,1,neutral
03:04:,4,neutral
06:46:,39,happy
08:15:,6,neutral
23:43:,1,sad
02:56:,2,sad
04:33:,1,neutral
02:15:,1,neutral
05:32:,3,neutral
01:48:,0,neutral
03:30:,-1,neutral
03:03:,1,neutral
05:45:,16,hate
00:05:,-1,sad
01:57:,1,hate
07:23:,1,neutral
11:40:,4,sad
21:43:,6,neutral
22:36:,1,neutral
03:21:,3,sad
06:32:,1,sad
04:39:,1,sad
05:02:,47,neutral
07:29:,9,happy
04:44:,1,sad
09:55:,3,neutral
22:00:,88,happy
03:44:,2,sad
23:37:,7,neutral
02:21:,1,sad
03:17:,1,neutral
06:16:,4,neutral
04:47:,1,sad
06:11:,4,neutral
23:38:,4,sad
01:25:,1,neutral
02:51:,3,neutral
02:15:,1,neutral
05:30:,21,sad
03:45:,1,neutral
04:55:,0,neutral
08:54:,-9,happy
19:10:,2,sad
20:20:,-8,neutral
00:20:,35,neutral
00:24:,7,neutral
03:26:,244,sad
18:13:,1,neutral
19:56:,7,sad
20:58:,-11,neutral
02:57:,3,neutral
09:03:,-8,sad
02:10:,-5,hate
02:16:,2,sad
01:53:,3,anger
05:37:,2,neutral
05:59:,16,hate
06:43:,2,neutral
12:18:,1,neutral
22:46:,48,neutral
06:08:,2,happy
11:29:,1,neutral
23:30:,1,neutral
04:53:,1,sad
07:38:,1,neutral
07:03:,30,neutral
08:38:,1,neutral
22:10:,4,anger
00:24:,0,neutral
08:33:,1,neutral
23:51:,9,hate
01:48:,40,sad
03:54:,23,neutral
05:39:,2,happy
20:27:,1,happy
04:04:,0,neutral
05:30:,-18,sad
08:18:,2,happy
10:07:,7,sad
12:59:,-1,neutral
15:22:,2,neutral
00:43:,24,sad
01:49:,6,neutral
02:32:,0,neutral
05:32:,8,neutral
04:58:,2,anger
02:30:,5,happy
08:37:,4,hate
08:32:,2,neutral
08:35:,-3,sad
09:09:,3,neutral
08:40:,1,neutral
10:00:,7,neutral
09:51:,37,happy
09:03:,1,neutral
09:46:,1,happy
08:32:,1,neutral
08:42:,1,neutral
09:36:,1,happy
08:14:,1,happy
08:39:,-1,neutral
08:12:,1,sad
08:34:,24,sad
09:09:,1,happy
09:58:,2,neutral
08:15:,269,happy
09:33:,1,neutral
08:22:,2,happy
09:12:,1,neutral
09:17:,1,happy
09:19:,-17,neutral
08:51:,1,hate
09:18:,6,neutral
09:09:,7,neutral
08:59:,62,neutral
09:48:,86,neutral
08:09:,2,neutral
08:19:,1,happy
08:19:,1,happy
08:22:,1,neutral
08:28:,53,neutral
08:17:,1,neutral
09:06:,1,neutral
08:32:,0,sad
08:41:,5,neutral
09:47:,2,sad
09:45:,1,neutral
09:19:,6,neutral
09:00:,3,happy
08:15:,4,sad
08:49:,71,happy
09:27:,25,happy
08:57:,2,neutral
09:17:,6,happy
09:35:,0,happy
09:41:,2,sad
09:30:,8,sad
08:02:,0,happy
08:06:,3,sad
08:47:,1,sad
08:08:,6,sad
08:08:,1,neutral
09:19:,2,neutral
08:33:,3,sad
09:04:,0,neutral
08:55:,1,neutral
08:03:,12,neutral
08:45:,421,neutral
09:30:,1,happy
08:17:,1,sad
08:35:,1,sad
09:26:,1,neutral
08:50:,1,neutral
09:17:,2,sad
09:48:,3,sad
08:05:,1,happy
08:36:,1,neutral
08:13:,1,hate
08:05:,59,sad
08:20:,102,neutral
09:29:,5,neutral
08:50:,2,sad
08:36:,2,hate
08:27:,4,sad
08:04:,1,sad
08:04:,17,neutral
08:09:,1,neutral
08:38:,1,happy
08:02:,1,sad
09:09:,2,neutral
09:25:,0,neutral
08:12:,1,happy
08:49:,2,neutral
08:31:,2,neutral
08:26:,-4,neutral
08:13:,1,hate
08:23:,3,happy
09:44:,1,neutral
10:24:,1,neutral
09:44:,10,neutral
10:15:,1,neutral
10:50:,11,neutral
11:10:,7,happy
10:41:,1,neutral
09:35:,1,sad
12:07:,1,neutral
09:53:,4,sad
10:13:,3,neutral
10:04:,7,hate
10:13:,5,happy
11:01:,1,neutral
10:45:,-1,sad
10:58:,0,neutral
11:28:,1,happy
10:16:,2,neutral
10:35:,9,neutral
10:09:,1,neutral
11:00:,2,sad
11:16:,1,neutral
10:15:,2,neutral
10:35:,5,neutral
11:29:,1,happy
11:36:,24,sad
09:31:,1,neutral
11:03:,1,neutral
10:44:,0,sad
10:57:,11,neutral
11:37:,17,neutral
10:48:,5,neutral
12:26:,-23,sad
10:43:,19,neutral
11:45:,24,happy
11:22:,123,sad
11:41:,1,happy
10:44:,6,neutral
10:44:,-2,neutral
11:35:,1,sad
12:06:,1,neutral
11:43:,4,sad
10:46:,1,neutral
11:28:,0,neutral
10:42:,1,neutral
11:05:,1,neutral
11:42:,2,neutral
12:54:,2,neutral
13:36:,5,happy
10:36:,1,anger
11:08:,1,neutral
10:23:,4,neutral
12:27:,20,neutral
12:26:,2,neutral
11:52:,5,neutral
12:49:,9,sad
12:40:,5,neutral
10:16:,1,neutral
11:04:,440,sad
11:10:,16,happy
11:32:,1,sad
11:55:,2,sad
11:18:,6,neutral
12:53:,5,hate
13:18:,3,neutral
12:26:,2,neutral
12:10:,2,sad
13:58:,21,sad
12:25:,1,neutral
10:30:,0,sad
12:09:,5,sad
13:09:,2,neutral
10:46:,1,neutral
12:24:,2,neutral
12:47:,-9,neutral
10:11:,1,neutral
12:21:,1,neutral
10:35:,10,neutral
10:21:,1,neutral
11:36:,1,happy
12:23:,-17,neutral
11:09:,3,happy
10:34:,1,neutral
12:01:,1,sad
12:07:,3,neutral
10:54:,2,neutral
11:44:,1,hate
10:24:,1,neutral
10:24:,4,anger
10:26:,1,neutral
10:37:,3,neutral
10:42:,2,happy
10:21:,32,neutral
13:51:,11,neutral
12:19:,5,neutral
12:16:,2,neutral
14:19:,-9,sad
09:47:,4,neutral
11:45:,2,sad
12:29:,21,sad
10:30:,1,happy
10:48:,510,sad
10:30:,33,happy
11:00:,8,happy
11:07:,1,sad
12:09:,3,sad
13:55:,5,neutral
13:36:,1,neutral
10:44:,26,neutral
11:53:,2,happy
10:16:,437,sad
11:21:,12,neutral
12:20:,92,happy
11:50:,1,sad
12:48:,88,happy
12:53:,2,neutral
10:19:,-1,happy
11:39:,2,neutral
12:06:,571,neutral
12:56:,1,neutral
13:20:,1,sad
13:53:,8,sad
14:51:,-3,happy
10:04:,1,happy
11:52:,1,sad
13:17:,21,sad
12:28:,4,sad
12:00:,3,sad
13:55:,3,neutral
15:35:,1,neutral
12:36:,1,neutral
14:45:,2,sad
12:10:,7,neutral
13:47:,1,neutral
13:38:,1,sad
12:34:,-1,sad
11:48:,3,neutral
13:21:,5,happy
14:26:,2,sad
15:02:,2,happy
12:45:,-2,happy
13:29:,24,neutral
13:10:,1,neutral
15:35:,4,neutral
12:22:,1,neutral
14:50:,1,sad
15:43:,24,happy
16:40:,3,sad
16:09:,43,sad
15:32:,24,sad
13:05:,8,sad
14:38:,5,sad
12:44:,11,sad
14:12:,1,sad
13:46:,6,neutral
13:05:,1,sad
13:28:,1,happy
12:15:,1,neutral
12:33:,1,neutral
14:14:,1,sad
16:04:,5,neutral
12:05:,3,hate
15:27:,8,sad
15:32:,20,neutral
15:09:,3,sad
14:43:,1,neutral
15:21:,4,sad
16:21:,5,neutral
17:54:,47,hate
16:03:,-19,neutral
17:17:,2,hate
15:07:,6,happy
16:32:,0,happy
12:21:,3,sad
12:38:,1,sad
11:08:,1,happy
15:30:,7,sad
15:06:,1,happy
12:34:,1,happy
12:49:,17,neutral
14:57:,1,sad
13:05:,2,neutral
13:54:,3,neutral
16:28:,10,neutral
14:08:,3,happy
13:59:,1,happy
14:06:,-1,neutral
16:09:,0,sad
14:08:,14,sad
17:52:,1,sad
16:48:,-1,hate
16:40:,2,neutral
19:11:,1,neutral
17:12:,2,sad
14:03:,1,neutral
14:17:,3,neutral
16:38:,1,neutral
15:32:,3,sad
14:29:,11,neutral
13:44:,1,sad
14:41:,-3,neutral
13:56:,1,hate
16:05:,-4,sad
17:25:,1,neutral
17:39:,2,sad
19:52:,5,neutral
14:39:,3,neutral
16:38:,15,neutral
13:01:,3,happy
13:24:,527,sad
13:38:,6,sad
13:46:,0,sad
16:19:,1,neutral
13:04:,5,happy
16:31:,2,sad
16:16:,1,sad
16:53:,1,sad
19:41:,6,hate
13:58:,1,sad
17:33:,1,hate
18:24:,0,sad
17:20:,2,neutral
16:55:,2,neutral
17:05:,5,sad
19:43:,5,neutral
19:54:,3,happy
18:47:,1,neutral
19:04:,9,sad
18:10:,47,hate
16:45:,4,neutral
17:08:,5,hate
17:50:,15,happy
21:20:,1,sad
22:03:,1,neutral
20:40:,7,neutral
16:00:,-6,sad
17:28:,182,sad
18:36:,2,happy
18:41:,8,happy
16:00:,1,sad
17:05:,2,neutral
17:49:,-8,sad
18:39:,3,neutral
18:58:,1,neutral
18:30:,2,neutral
19:27:,2,neutral
19:01:,1,sad
16:19:,1,neutral
16:18:,28,happy
14:17:,1,sad
15:15:,4,happy
18:01:,5,hate
17:02:,3,neutral
19:37:,6,sad
17:20:,3,sad
16:10:,13,sad
19:06:,3,neutral
17:27:,2,neutral
18:46:,1,neutral
19:35:,2,neutral
19:40:,0,sad
17:51:,1,neutral
18:00:,1,sad
18:50:,3,neutral
18:39:,1,neutral
18:10:,30,sad
20:28:,1,sad
19:43:,-3,neutral
20:01:,6,neutral
16:25:,75,happy
17:00:,2,neutral
16:36:,2,neutral
18:33:,1,sad
15:52:,334,neutral
16:09:,2,sad
16:37:,2,neutral
21:15:,2,happy
17:27:,1,happy
15:39:,-11,hate
18:52:,0,happy
17:40:,3,sad
15:35:,3,neutral
15:40:,125,happy
17:46:,0,sad
16:29:,439,sad
16:12:,3,sad
17:53:,1,happy
18:18:,1,neutral
17:00:,1,neutral
18:42:,1,neutral
19:39:,5,sad
17:24:,82,hate
19:02:,1,neutral
14:59:,0,neutral
16:49:,10,neutral
16:48:,1,neutral
18:41:,2,sad
19:28:,1,happy
15:01:,59,neutral
21:52:,170,happy
18:08:,1,sad
17:57:,1,neutral
22:23:,27,hate
20:23:,3,sad
14:04:,1,sad
17:28:,1,neutral
15:21:,2,happy
18:36:,150,happy
20:44:,3,neutral
21:18:,3,sad
21:42:,1,neutral
21:57:,23,sad
21:11:,3,neutral
19:52:,1,neutral
18:40:,-1,sad
19:26:,1,neutral
20:07:,14,sad
20:05:,5,neutral
21:12:,2,neutral
18:17:,70,neutral
20:43:,3,sad
15:37:,0,sad
21:03:,33,sad
19:18:,1,sad
19:59:,0,sad
21:08:,0,neutral
20:50:,12,happy
22:04:,3,anger
21:35:,-3,neutral
18:00:,0,happy
16:32:,35,sad
20:57:,1,happy
21:51:,4,sad
21:41:,2,happy
23:44:,2,happy
18:59:,2,happy
17:51:,1,sad
20:50:,1,hate
22:17:,1,sad
21:33:,1,neutral
19:18:,2,sad
19:17:,6,sad
19:36:,180,sad
18:33:,5,neutral
17:31:,2,sad
20:10:,4,sad
17:40:,1,happy
21:20:,-5,sad
21:26:,1,neutral
21:51:,1,neutral
20:09:,1,neutral
20:44:,1,neutral
23:31:,16,neutral
22:15:,193,sad
20:37:,1,neutral
22:57:,0,happy
19:29:,1,neutral
22:28:,6,happy
21:26:,3,neutral
22:26:,1,sad
21:18:,161,neutral
22:39:,10,neutral
21:07:,1,neutral
22:53:,4,neutral
19:51:,3,neutral
21:53:,2,neutral
17:42:,1,sad
19:33:,-7,neutral
21:08:,7,sad
21:10:,0,sad
22:26:,1,neutral
17:43:,148,anger
20:22:,1,sad
19:14:,13,happy
21:31:,1,happy
21:26:,1,neutral
21:27:,8,sad
20:23:,4,happy
17:54:,2,happy
19:21:,5,neutral
19:01:,499,neutral
20:48:,16,neutral
21:26:,1,hate
23:03:,1,neutral
20:36:,1,sad
22:16:,0,happy
19:57:,4,hate
19:01:,3,happy
23:14:,-8,hate
20:35:,1,sad
21:59:,3,anger
21:43:,1,neutral
22:59:,1,sad
23:19:,1,neutral
00:19:,2,neutral
18:49:,27,neutral
20:54:,2,neutral
18:52:,0,sad
19:44:,1,happy
19:40:,101,neutral
21:05:,2,sad
23:05:,4,happy
22:17:,4,neutral
22:59:,7,neutral
17:29:,23,sad
19:21:,1,sad
22:01:,2,sad
19:35:,5,neutral
19:39:,3,neutral
10:50:,2,neutral
11:20:,2,neutral
23:22:,1,sad
20:27:,24,neutral
20:20:,2,happy
21:47:,1,sad
18:59:,1,neutral
19:02:,3,anger
19:20:,3,neutral
19:35:,1,neutral
21:59:,1,happy
22:39:,2,sad
21:57:,1,neutral
20:36:,1,neutral
20:21:,1,neutral
21:23:,3,anger
21:21:,1,neutral
23:01:,1,happy
23:54:,1,hate
22:48:,1,neutral
23:29:,2,neutral
23:39:,12,neutral
23:05:,1,sad
00:57:,22,neutral
01:49:,3,happy
00:37:,3,sad
01:38:,-97,sad
23:49:,57,sad
20:20:,1,neutral
20:36:,7,sad
21:55:,2,sad
23:13:,17,sad
01:51:,0,neutral
23:50:,3,happy
22:52:,1,neutral
23:52:,1,sad
00:34:,17,happy
21:05:,30,happy
23:30:,30,sad
23:10:,2,neutral
00:31:,3,neutral
23:37:,3,neutral
00:46:,1,neutral
18:04:,3,neutral
20:07:,1,sad
21:35:,-1,neutral
21:19:,1,neutral
21:50:,2,neutral
21:46:,-5,sad
11:35:,4,neutral
12:01:,1,happy
14:52:,2,happy
21:46:,4,neutral
01:01:,219,neutral
00:22:,0,sad
23:32:,2,hate
22:41:,2,neutral
22:49:,10,neutral
22:55:,2,neutral
23:10:,33,neutral
00:42:,3,sad
21:28:,1,happy
23:01:,3,sad
21:07:,4,neutral
23:08:,1,neutral
23:18:,1,neutral
00:17:,2,sad
02:04:,10,sad
23:58:,2,neutral
00:06:,1,anger
21:49:,7,sad
22:22:,15,neutral
22:48:,2,neutral
23:20:,3,sad
23:24:,1,neutral
18:46:,1,neutral
20:04:,2,sad
22:57:,14,happy
22:41:,0,neutral
23:25:,2,neutral
21:43:,2,neutral
23:52:,2,sad
23:03:,1,neutral
00:32:,3,neutral
23:38:,4,neutral
23:38:,2,happy
23:18:,1,neutral
21:43:,21,neutral
21:42:,3,neutral
23:29:,9,sad
23:58:,0,neutral
23:19:,1,neutral
00:40:,1,neutral
22:48:,7,happy
00:19:,7,neutral
00:27:,1,sad
01:27:,1,happy
22:41:,1,hate
00:02:,12,neutral
01:43:,11,sad
23:12:,1,sad
21:47:,3,neutral
22:33:,39,neutral
21:49:,4,neutral
00:12:,3,happy
01:53:,0,neutral
01:08:,59,neutral
23:41:,12,neutral
00:33:,0,neutral
00:57:,0,neutral
23:08:,1,neutral
23:56:,3,sad
00:05:,-1,sad
01:33:,3,sad
22:42:,0,neutral
23:03:,3,neutral
22:48:,1,neutral
22:22:,4,neutral
22:36:,42,neutral
00:39:,2,sad
23:29:,1,sad
02:02:,1,neutral
01:01:,7,sad
00:28:,2,sad
00:50:,1,sad
23:44:,0,neutral
23:13:,2,sad
00:10:,7,sad
22:47:,5,neutral
21:19:,1,neutral
22:54:,1,happy
23:09:,0,sad
22:03:,1,neutral
22:57:,1,neutral
22:09:,2,sad
00:20:,2,sad
22:32:,2,neutral
00:02:,1,neutral
23:55:,0,neutral
23:23:,3,hate
00:30:,2,happy
00:44:,2,sad
22:38:,0,neutral
23:39:,1,neutral
01:17:,2,neutral
23:14:,1,neutral
21:51:,1,neutral
22:03:,2,sad
22:48:,1,happy
23:15:,1,neutral
00:55:,3,sad
00:49:,5,neutral
01:32:,4,sad
00:38:,20,happy
00:26:,1,sad
23:58:,12,happy
02:49:,50,sad
00:22:,17,neutral
00:39:,2,neutral
01:14:,3,sad
01:02:,0,neutral
23:27:,0,happy
22:28:,4,neutral
00:14:,0,neutral
23:47:,2,neutral
23:37:,7,sad
01:39:,2,happy
01:03:,1,happy
00:14:,2,sad
23:15:,1,happy
01:06:,1,neutral
00:00:,-1,neutral
02:23:,1,sad
16:31:,-2,sad
17:05:,3,neutral
00:35:,2,sad
00:22:,1,neutral
01:25:,-3,neutral
03:35:,-64,sad
01:20:,83,neutral
02:51:,3,happy
03:36:,1,neutral
01:57:,4,neutral
01:38:,2,neutral
01:23:,5,neutral
23:35:,7,neutral
00:52:,16,hate
02:06:,5,happy
00:51:,9,sad
02:02:,1,sad
02:17:,90,neutral
00:26:,2,neutral
00:54:,1,sad
00:07:,4,happy
23:55:,0,neutral
00:47:,12,neutral
00:37:,1,neutral
01:09:,2,neutral
03:02:,1,happy
23:54:,5,happy
23:54:,1,neutral
23:52:,1,sad
23:42:,1,neutral
00:32:,1,sad
00:59:,1,neutral
03:21:,3,happy
02:08:,16,sad
01:49:,1,neutral
01:49:,2,sad
01:30:,1,sad
02:38:,2,neutral
03:06:,0,sad
01:16:,2,happy
21:51:,1,sad
22:10:,3,neutral
23:03:,2,hate
22:40:,0,neutral
14:38:,3,neutral
15:05:,43,sad
23:26:,-3,anger
23:25:,17,neutral
23:40:,1,sad
00:43:,-1,happy
02:21:,2,happy
00:07:,59,neutral
00:39:,2,neutral
03:19:,9,sad
01:42:,3,happy
01:49:,1,neutral
00:33:,11,neutral
01:06:,1,neutral
00:27:,0,sad
01:46:,72,neutral
02:09:,4,sad
01:00:,0,neutral
01:58:,2,neutral
02:29:,1,neutral
04:06:,3,neutral
02:28:,9,happy
04:52:,1,neutral
01:09:,1,happy
23:39:,10,happy
01:26:,1,sad
00:32:,7,neutral
03:19:,1,sad
01:44:,1,neutral
00:55:,0,sad
02:59:,3,neutral
00:57:,2,happy
00:41:,12,sad
00:24:,2,neutral
01:50:,1,sad
00:14:,10,hate
01:15:,1,neutral
00:22:,10,hate
01:47:,1,neutral
00:19:,2,sad
03:04:,47,sad
02:16:,1,sad
00:35:,3,happy
00:32:,7,neutral
00:50:,18,happy
00:55:,1,neutral
00:38:,17,sad
01:05:,3,neutral
00:33:,1,happy
01:23:,7,neutral
02:08:,21,sad
01:01:,1,neutral
02:48:,77,neutral
00:24:,1,happy
02:02:,7,neutral
03:46:,8,neutral
23:37:,4,neutral
23:30:,2,neutral
00:05:,1,sad
23:07:,1,neutral
23:11:,10,neutral
23:42:,1,neutral
00:45:,1,happy
04:01:,1,neutral
04:44:,4,sad
23:17:,1,neutral
23:52:,5,sad
01:50:,1,neutral
00:58:,2,neutral
03:20:,59,neutral
03:52:,1,neutral
03:29:,1,neutral
23:49:,2,neutral
00:11:,63,neutral
02:44:,0,sad
00:42:,15,happy
02:24:,1,hate
01:42:,3,happy
01:41:,68,neutral
23:49:,2,neutral
23:31:,2,neutral
00:12:,-1,neutral
01:11:,1,neutral
00:54:,3,sad
00:10:,10,sad
00:58:,1,sad
01:47:,30,neutral
19:01:,9,neutral
01:31:,11,neutral
02:45:,1,neutral
03:00:,-4,sad
01:33:,1,neutral
02:20:,1,happy
01:45:,1,sad
00:53:,2,sad
23:45:,15,neutral
03:56:,2,neutral
05:48:,-2,neutral
04:09:,1,hate
03:49:,8,neutral
02:52:,1,happy
02:46:,8,happy
00:39:,1,neutral
03:14:,9,happy
02:54:,3,sad
01:30:,-3,hate
01:48:,1,neutral
01:03:,8,neutral
00:08:,1,sad
01:36:,1,happy
01:47:,3,neutral
03:27:,9,sad
03:08:,-3,neutral
02:12:,1,neutral
03:45:,20,neutral
02:51:,7,neutral
04:44:,10,sad
02:39:,1,sad
03:24:,1,neutral
01:21:,42,neutral
01:28:,5,anger
01:45:,-24,happy
02:28:,284,happy
03:26:,2,sad
03:49:,1,neutral
01:05:,3,sad
16:41:,3,neutral
20:02:,1,neutral
18:16:,1,neutral
19:31:,1,sad
02:20:,2,hate
01:54:,11,hate
03:13:,1,neutral
02:48:,4,sad
02:34:,50,sad
03:50:,30,hate
03:13:,1,sad
02:26:,6,sad
03:07:,0,happy
00:28:,1,happy
00:45:,8,happy
03:00:,1,neutral
03:26:,0,neutral
03:03:,1,neutral
05:32:,7,happy
02:57:,9,sad
04:19:,2,neutral
02:50:,-1,sad
01:51:,1,neutral
01:56:,7,happy
01:33:,1,sad
04:06:,1,happy
03:41:,7,neutral
01:02:,-6,neutral
01:21:,1,neutral
01:00:,1,sad
04:32:,9,neutral
02:18:,2,sad
01:29:,1,neutral
02:20:,0,happy
05:52:,47,sad
06:02:,4,neutral
01:53:,1,sad
01:22:,4,neutral
01:03:,31,hate
03:44:,6,sad
02:00:,1,sad
02:15:,1,neutral
04:33:,1,neutral
03:42:,26,happy
05:07:,1,sad
04:01:,5,happy
04:10:,1,neutral
03:38:,17,hate
03:40:,1,hate
03:16:,3,happy
04:32:,1,happy
03:47:,427,neutral
03:57:,1,sad
06:04:,1,neutral
04:44:,2,neutral
02:14:,1,neutral
02:04:,5406,neutral
04:15:,15,happy
02:56:,10,happy
02:25:,37,happy
02:56:,3,neutral
01:08:,1,happy
02:29:,1,happy
01:52:,6,sad
03:31:,1,happy
02:02:,37,neutral
05:17:,9,sad
03:02:,2,neutral
00:53:,58,neutral
02:52:,28,hate
02:48:,1,sad
01:33:,5,neutral
01:56:,3,hate
03:25:,1,neutral
03:54:,30,neutral
05:26:,13,neutral
00:42:,1,neutral
03:18:,2,neutral
00:54:,-2,hate
01:41:,9,neutral
01:36:,1,hate
02:58:,1,happy
04:56:,3,happy
02:18:,1,happy
04:21:,2,neutral
05:05:,0,neutral
00:30:,96,neutral
01:28:,3,happy
01:55:,1,neutral
03:56:,1,neutral
03:20:,3,happy
04:17:,7,sad
01:37:,3,neutral
01:46:,2,happy
01:14:,1,neutral
02:50:,1,neutral
03:17:,85,happy
02:13:,279,neutral
01:54:,10,neutral
02:31:,6,happy
03:21:,8,sad
03:25:,1,sad
06:23:,32,neutral
03:49:,2,hate
04:56:,13,sad
06:57:,80,hate
03:22:,20,neutral
03:33:,1,sad
03:13:,-2,neutral
20:20:,28,neutral
21:39:,1,neutral
03:34:,1,sad
03:59:,1,neutral
05:08:,3,neutral
05:13:,1,neutral
04:32:,23,sad
04:47:,3,sad
02:35:,1,neutral
02:36:,1,happy
02:41:,17,happy
03:22:,16,happy
06:30:,90,neutral
05:14:,1,neutral
02:35:,2,neutral
03:10:,-1,happy
03:09:,3,neutral
02:48:,1,sad
02:23:,0,happy
07:27:,19,sad
04:22:,2,neutral
04:52:,1,neutral
06:32:,3,neutral
04:48:,1,sad
06:56:,1,hate
02:59:,1,sad
05:14:,1,happy
02:46:,1,neutral
02:37:,3,happy
03:27:,2,neutral
02:27:,3,neutral
02:11:,3,neutral
03:38:,1,happy
03:57:,14,sad
03:40:,1,neutral
05:13:,95,happy
02:21:,73,neutral
03:21:,2,neutral
04:51:,2,neutral
06:55:,0,neutral
04:01:,8,sad
04:38:,11,neutral
04:39:,39,happy
21:31:,1,neutral
22:35:,1,sad
07:49:,6,sad
06:37:,140,neutral
03:49:,0,sad
05:05:,15,neutral
03:43:,16,happy
04:40:,2,neutral
04:31:,122,neutral
04:02:,1,happy
03:30:,1,neutral
07:52:,5,sad
06:35:,6,neutral
02:39:,-9,sad
02:16:,1,neutral
00:58:,0,happy
03:55:,103,neutral
02:57:,19,sad
04:52:,1,neutral
03:37:,62,sad
05:16:,1,sad
04:19:,5,neutral
04:57:,6,happy
04:46:,0,hate
04:52:,1,neutral
05:26:,8,sad
04:57:,31,neutral
03:34:,10,sad
02:49:,32,neutral
03:46:,1,happy
05:16:,29,happy
04:37:,22,neutral
03:53:,10,happy
02:48:,3,neutral
01:10:,45,happy
01:42:,5,neutral
02:32:,19,neutral
03:21:,5,sad
02:52:,1,neutral
03:40:,2,sad
06:23:,88,happy
05:05:,0,hate
06:07:,2,neutral
03:54:,8,sad
03:38:,2,sad
04:59:,1,sad
02:14:,18,anger
02:20:,1,neutral
02:43:,2,happy
03:27:,2,neutral
05:31:,2,sad
05:04:,2,neutral
04:56:,2,happy
03:27:,4,neutral
02:38:,6,sad
03:40:,0,neutral
02:44:,89,neutral
03:02:,1,sad
03:19:,23,neutral
02:43:,1,happy
04:23:,-1,sad
03:30:,2,neutral
04:16:,7,sad
03:58:,1,happy
06:10:,1,neutral
03:30:,1,sad
05:11:,1,neutral
04:01:,7,hate
05:18:,16,sad
03:31:,1,anger
05:31:,6,hate
02:37:,2,neutral
04:04:,1,neutral
04:12:,1,sad
06:43:,2,neutral
05:09:,13,happy
02:45:,1,neutral
04:55:,2,happy
02:46:,19,neutral
04:26:,2,neutral
04:00:,1,sad
05:29:,0,sad
02:30:,1,neutral
03:57:,1,neutral
02:29:,1,neutral
02:33:,1,neutral
03:28:,-2,neutral
02:59:,1,sad
04:56:,1,sad
05:46:,1,anger
07:20:,3,neutral
05:27:,2,neutral
07:16:,28,neutral
05:53:,1,neutral
05:05:,3,sad
06:32:,1,neutral
04:38:,4,happy
06:19:,200,happy
04:36:,0,neutral
05:31:,0,neutral
06:19:,12,sad
06:48:,2,neutral
06:27:,1,neutral
06:42:,4,anger
12:15:,1,neutral
14:59:,1,happy
04:12:,8,sad
03:29:,1,neutral
04:07:,2,neutral
02:11:,16,neutral
02:44:,353,neutral
02:56:,3,neutral
05:54:,2,neutral
03:56:,3,happy
06:11:,6,neutral
05:18:,2,happy
05:49:,1,sad
07:11:,2,neutral
05:08:,6,neutral
05:12:,3,neutral
03:24:,3,sad
22:33:,1,neutral
00:50:,2,happy
23:09:,23,hate
00:10:,1,happy
02:03:,2,happy
23:52:,0,sad
23:47:,1,sad
02:55:,32,sad
04:47:,3,neutral
04:32:,1,neutral
07:30:,1,sad
06:18:,-1,hate
06:41:,2,hate
07:01:,1,neutral
05:56:,1,happy
06:44:,9,sad
05:05:,8,sad
05:41:,5,happy
04:36:,67,neutral
04:47:,6,neutral
07:59:,2,neutral
06:23:,3,neutral
06:26:,3,neutral
07:53:,1,neutral
04:22:,6,sad
04:38:,1,happy
05:54:,1,happy
03:39:,1,happy
05:50:,10,neutral
06:01:,3,hate
05:58:,-1,happy
04:33:,5,neutral
05:08:,2,sad
05:42:,-3,sad
07:21:,12,neutral
04:40:,2,neutral
05:09:,61,sad
05:31:,1,neutral
05:37:,1,sad
06:45:,1,neutral
06:46:,6,neutral
06:07:,2,neutral
04:13:,6,neutral
06:07:,26,neutral
07:27:,3,neutral
02:24:,1,happy
02:05:,2895,sad
03:42:,6,sad
07:00:,-4,neutral
02:43:,1,neutral
03:55:,2,neutral
03:18:,22,neutral
03:35:,0,sad
06:09:,1,neutral
05:55:,1,happy
04:19:,3,anger
03:48:,38,happy
04:39:,1,sad
04:25:,3,anger
05:20:,3,sad
05:13:,1,happy
04:24:,45,neutral
05:39:,11,sad
05:04:,3,happy
12:09:,1,neutral
06:08:,3,neutral
07:18:,11,sad
06:45:,13,sad
06:46:,8,neutral
08:07:,6,neutral
07:56:,11,neutral
05:55:,2,happy
04:29:,0,neutral
03:43:,5,happy
04:32:,0,sad
04:00:,1,sad
05:18:,1,neutral
05:50:,-9,neutral
06:38:,1,neutral
06:18:,4,happy
05:59:,1,neutral
06:30:,3,sad
05:50:,1,neutral
05:18:,1,neutral
06:27:,2,neutral
06:13:,2,sad
05:08:,10,sad
05:13:,16,neutral
04:56:,49,neutral
04:57:,1,sad
07:00:,2,hate
06:48:,4,sad
06:29:,11,happy
09:58:,1,neutral
10:22:,7,hate
17:24:,-12,sad
17:49:,3,neutral
22:07:,6,happy
22:27:,243,hate
03:34:,1,neutral
04:26:,17,neutral
04:53:,18,neutral
04:38:,1,sad
05:19:,2,neutral
05:57:,9,sad
05:25:,3,happy
06:36:,28,neutral
09:32:,6,hate
12:15:,0,neutral
06:51:,0,sad
04:43:,1,neutral
06:04:,7,sad
06:42:,1,neutral
