TIME,SCORE,EMOTION
13:50:,7,neutral
13:55:,1,neutral
13:57:,1,happy
13:58:,2,sad
14:00:,48,neutral
14:03:,1,neutral
14:03:,0,neutral
14:04:,3,neutral
14:06:,5,neutral
14:10:,0,neutral
14:12:,1,neutral
14:15:,1,neutral
14:17:,0,neutral
14:18:,1,neutral
14:27:,16,neutral
14:28:,1,neutral
14:30:,1,neutral
14:30:,2,neutral
14:30:,1,sad
14:32:,1,sad
14:32:,1,neutral
14:34:,136,neutral
14:37:,7,happy
14:38:,2,sad
14:39:,19,sad
14:40:,41,hate
14:43:,7,neutral
14:44:,1,happy
14:44:,17,happy
14:45:,8,happy
14:48:,1,happy
14:49:,0,sad
14:50:,1,neutral
14:52:,2,neutral
15:00:,6,sad
15:00:,4,sad
15:06:,0,neutral
15:07:,1,sad
15:08:,2,neutral
15:08:,7,happy
15:08:,1,sad
15:09:,2,neutral
15:09:,1,neutral
15:12:,19,happy
15:16:,13,neutral
15:17:,11,neutral
15:20:,1,hate
15:20:,3,neutral
15:20:,1,sad
15:20:,1,neutral
15:20:,1,neutral
15:21:,1,happy
15:22:,7,happy
15:22:,7,sad
15:26:,1,neutral
15:32:,1,neutral
15:35:,1,sad
15:36:,0,neutral
15:37:,7,sad
15:40:,1,neutral
15:41:,0,happy
15:44:,1,sad
15:52:,1,neutral
15:54:,6,sad
15:55:,135,neutral
15:55:,1,happy
16:03:,1,neutral
16:04:,5,sad
16:06:,1,neutral
16:08:,7,neutral
16:09:,1,happy
16:10:,1,hate
16:11:,1,sad
16:13:,8,sad
16:15:,6,happy
16:22:,1,neutral
16:23:,6,neutral
16:23:,1,happy
16:25:,0,neutral
16:26:,1,sad
16:28:,2,happy
16:30:,2,happy
16:30:,1,sad
16:31:,1,sad
16:32:,1,neutral
16:32:,1,hate
16:32:,-2,neutral
16:34:,73,neutral
16:35:,1,sad
16:36:,2,sad
16:37:,9,hate
16:37:,0,hate
16:37:,2,hate
16:38:,5,neutral
16:43:,-48,neutral
16:44:,1,sad
16:45:,1,neutral
16:45:,1,sad
16:47:,3,neutral
16:47:,8,sad
16:48:,45,sad
16:48:,-1,sad
16:49:,18,neutral
16:51:,15,hate
16:52:,2,happy
16:53:,95,neutral
16:53:,3,hate
16:55:,2,neutral
16:55:,22,neutral
16:57:,1,neutral
16:57:,43,sad
17:02:,4,happy
17:03:,15,neutral
17:03:,-3,sad
17:03:,0,hate
17:07:,4,neutral
17:08:,26,sad
17:09:,1,neutral
17:12:,1,neutral
17:14:,1,neutral
17:18:,14,sad
17:21:,2,sad
17:24:,20,neutral
17:24:,1,neutral
17:24:,3,neutral
17:29:,3,neutral
17:29:,2,sad
17:31:,14,happy
17:31:,4,neutral
17:31:,9,happy
17:31:,1,neutral
17:31:,1,neutral
17:32:,1,neutral
17:32:,1,sad
17:33:,1,neutral
17:33:,1,neutral
17:36:,2,sad
17:38:,1,sad
17:38:,2,sad
17:38:,8,neutral
17:39:,0,hate
17:41:,34,happy
17:45:,14,neutral
17:46:,2,sad
17:48:,2,neutral
17:49:,1,neutral
17:50:,2,neutral
17:50:,2,sad
17:51:,6,neutral
17:52:,1,sad
17:53:,3,happy
17:54:,30,neutral
17:57:,-12,neutral
17:57:,21,sad
17:57:,8,sad
17:57:,229,neutral
17:59:,6,neutral
18:00:,1,anger
18:03:,1,neutral
18:03:,6,neutral
18:05:,33,neutral
18:06:,9,neutral
18:08:,-33,happy
18:08:,2,happy
18:09:,4,hate
18:10:,3,neutral
18:11:,1,sad
18:12:,3,happy
18:12:,3,neutral
18:18:,2,neutral
18:19:,1,anger
18:20:,1,neutral
18:20:,1,sad
18:21:,2,sad
18:21:,1,happy
18:22:,12,neutral
18:24:,1,neutral
18:28:,10,hate
18:29:,1,sad
18:30:,8,happy
18:30:,2,neutral
18:31:,-1,sad
18:32:,0,happy
18:34:,9,neutral
18:35:,1,neutral
18:39:,6,neutral
18:42:,2,happy
18:44:,50,neutral
18:45:,1,happy
18:46:,4,neutral
18:46:,1,neutral
18:47:,1,neutral
18:47:,433,sad
18:52:,1,neutral
18:52:,3,sad
18:54:,0,happy
18:54:,1,neutral
18:55:,2,neutral
18:57:,12,neutral
18:57:,5,neutral
18:58:,1,neutral
19:00:,32,neutral
19:02:,14,sad
19:02:,-1,happy
19:04:,7,sad
19:04:,1,neutral
19:05:,75,sad
