,08:01,08:11,08:21,08:31,08:41,09:01,08:51,09:11,09:31,09:21,09:41,09:51,10:01,10:11,10:21,10:41,10:31,11:01,11:11,10:51,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:31,14:11,15:11,14:21,14:41,14:51,15:01,15:31,15:41,16:01,15:21,15:51,16:11,16:21,16:31,16:41,17:01,17:11,16:51,17:51,18:01,17:21,17:31,17:41,18:11,18:21,18:41,18:31,19:01,19:21,19:11,19:31,18:51,19:41,19:51,20:01,20:21,20:11,20:31,20:41,21:01,21:21,20:51,21:11,21:31,21:41,21:51,22:01,22:11,22:21,22:41,22:31,22:51,23:11,23:01,23:41,23:21,23:31,23:51,00:01,00:11,00:31,00:21,00:41,00:51,01:11,01:21,01:01,01:31,01:41,01:51,02:21,02:01,02:11,02:31,02:41,02:51,03:01,03:11,03:21,03:31,03:41,03:51,04:01,04:11,04:21,04:31,04:51,05:01,05:11,04:41,05:21,05:31,05:41,05:51,06:31,06:01,06:11,06:21,06:51,07:01,07:11,07:21,06:41,07:31,07:41,07:51
anger,17,10,21,23,22,20,11,18,13,9,13,19,13,14,10,11,18,17,14,12,19,21,18,15,17,13,12,15,13,15,13,16,11,16,15,14,18,10,14,13,17,14,10,15,15,17,13,11,14,19,6,10,13,9,14,11,15,15,14,12,15,17,10,11,16,16,18,9,11,19,23,13,14,24,17,25,20,18,18,17,24,20,29,23,36,32,37,27,29,35,32,24,31,32,34,28,30,24,42,40,34,38,36,31,19,32,37,44,29,42,35,33,43,39,35,34,36,37,22,44,26,22,34,20,22,28,15,38,24,23,16,30,16,24,13,23,25,25,23,18,20,14,17,14
happy,158,201,196,205,188,185,179,181,159,181,179,173,183,155,176,141,162,250,209,131,204,186,164,182,173,167,126,148,163,145,138,142,142,143,125,122,203,191,205,140,156,160,159,164,165,132,126,166,158,130,145,174,146,181,156,142,165,150,155,141,140,156,156,153,169,145,193,150,190,174,213,200,222,242,246,232,253,252,263,220,260,279,255,271,343,343,345,312,348,327,328,349,308,323,312,316,317,307,275,351,304,310,418,436,382,434,409,450,367,428,392,344,362,363,438,384,399,354,353,321,342,331,307,342,310,291,304,344,307,293,297,264,262,257,271,264,236,232,234,237,254,231,204,215
hate,50,52,49,60,45,40,41,41,51,45,48,43,34,34,34,47,31,51,40,37,38,38,51,47,54,47,43,34,26,32,32,28,30,35,36,28,41,30,41,34,34,49,34,32,25,51,48,32,40,32,33,33,36,53,42,33,42,41,42,43,32,36,43,44,48,32,34,42,44,33,45,44,34,60,49,62,67,79,68,58,70,52,57,90,77,68,82,83,100,85,90,90,71,79,78,82,96,68,80,80,92,87,86,85,84,89,89,103,96,102,101,78,97,96,88,77,79,89,81,66,64,86,81,79,77,65,63,74,67,63,73,53,50,61,63,45,53,62,58,56,52,44,41,51
neutral,558,542,550,551,535,505,533,523,505,545,540,566,502,486,502,508,466,716,636,471,610,549,536,502,475,525,437,428,412,431,400,431,410,430,392,379,630,517,569,448,494,485,513,483,487,481,454,447,474,465,423,443,397,437,507,404,466,473,492,476,421,442,493,460,504,453,499,468,545,506,546,569,678,679,723,727,716,693,826,676,760,720,764,808,1075,919,922,1064,937,979,1027,1030,979,934,991,1015,963,1007,988,1028,964,949,1179,1224,1105,1239,1388,1338,1123,1242,1253,1075,1142,1058,1224,1197,1132,1119,1087,1014,971,1037,937,1013,985,874,806,1007,870,835,824,837,729,835,798,779,750,733,702,677,754,716,609,631
sad,239,271,253,268,257,250,238,257,233,284,240,245,248,258,196,211,225,312,302,197,250,283,266,206,228,213,244,209,203,210,180,186,213,178,187,190,255,229,253,227,255,227,210,221,231,234,211,204,249,208,243,222,233,236,239,213,231,218,202,250,224,238,221,241,260,198,267,248,269,266,313,273,332,343,342,353,329,331,378,333,343,387,393,392,460,465,495,495,480,488,448,487,459,508,489,449,478,461,484,506,464,478,576,585,522,504,599,587,523,595,588,496,507,497,571,592,560,529,523,460,462,472,485,460,478,415,401,478,434,409,380,393,325,412,356,319,370,328,328,328,372,360,291,293
