,08:01,08:11,08:21,08:31,08:51,09:11,08:41,09:01,10:31,09:21,09:41,09:51,09:31,11:01,10:01,10:11,11:41,10:21,10:41,10:51,11:31,11:51,11:11,12:41,11:21,12:01,12:11,12:21,12:51,13:01,12:31,13:51,13:11,13:21,13:31,13:41,14:21,14:01,14:11,14:31,14:41,15:21,15:01,15:11,15:31,14:51,15:41,16:41,16:01,16:21,16:31,16:51,15:51,16:11,17:11,17:21,17:41,17:31,17:01,18:01,18:11,18:21,17:51,18:31,18:41,19:01,19:11,19:31,19:41,19:51,20:01,19:21,18:51,20:11,20:21,20:41,20:31,20:51,21:11,21:01,21:21,22:01,21:31,22:21,21:51,21:41,22:11,22:31,22:51,22:41,23:11,23:21,23:31,00:01,23:01,23:41,23:51,00:21,00:11,00:51,01:01,01:11,00:31,00:41,01:21,01:51,02:01,02:11,01:31,01:41,02:21,03:11,03:21,02:41,03:31,02:31,03:41,03:51,02:51,04:01,04:11,03:01,04:21,04:31,05:21,05:41,05:51,04:41,04:51,05:01,06:21,05:11,05:31,06:31,06:41,06:51,07:11,06:01,07:31,06:11,07:51,07:01,07:21,07:41
anger,25,13,17,17,22,13,17,15,20,15,13,19,19,20,19,13,8,17,20,20,14,10,20,11,10,14,11,12,14,9,7,23,9,8,9,12,12,11,6,8,18,7,12,18,10,15,16,13,21,15,7,7,14,7,15,7,9,10,11,12,15,7,11,8,8,15,19,10,18,14,15,13,12,11,16,24,13,24,25,24,24,31,27,27,22,26,32,21,26,18,17,32,19,19,14,37,24,21,24,19,29,37,26,24,43,32,29,32,25,29,30,17,25,20,24,26,15,32,19,20,29,26,29,21,30,25,15,16,22,23,22,18,23,16,24,30,17,18,18,17,17,13,15,22
happy,231,223,229,216,192,176,194,209,182,216,184,194,170,174,212,177,152,215,187,181,159,147,182,125,164,177,178,134,138,169,150,146,131,160,144,134,134,142,129,132,159,168,165,158,148,141,165,142,145,136,165,162,158,157,135,126,160,144,130,136,178,170,162,166,157,182,196,155,189,180,175,183,150,189,222,262,217,244,243,208,235,261,219,292,254,220,242,254,266,312,289,310,329,328,289,355,343,350,345,326,355,366,342,329,352,331,378,393,374,335,377,378,341,371,331,413,351,280,346,340,321,328,315,310,287,281,292,295,301,284,246,278,301,252,222,224,219,250,224,299,208,232,246,188
hate,44,36,36,39,43,38,54,46,56,39,37,56,36,48,55,40,31,48,40,39,36,35,61,31,41,51,30,34,31,39,27,39,35,26,29,46,40,36,38,35,44,27,44,30,43,34,44,36,30,36,34,21,38,36,27,33,27,31,44,29,29,34,32,44,42,32,32,39,37,48,29,38,34,46,38,40,32,49,50,55,56,54,57,36,55,52,64,51,72,67,63,68,69,68,59,51,62,82,54,81,55,72,77,72,87,64,67,55,60,76,68,57,57,73,60,88,82,64,55,63,60,69,69,71,51,51,52,73,59,63,54,59,48,48,52,47,51,50,43,52,47,48,50,57
neutral,588,580,585,546,543,508,560,506,507,565,530,552,519,457,581,479,464,489,509,471,482,448,519,412,496,464,408,432,414,382,407,407,399,387,411,401,410,435,413,439,451,418,434,425,418,399,439,417,395,402,382,398,430,443,382,434,448,437,397,410,457,427,421,452,439,494,512,507,554,525,563,520,476,639,550,665,597,689,702,618,710,743,675,843,736,757,742,847,825,866,855,874,970,973,808,909,942,963,975,941,903,1005,954,993,1003,947,988,1039,961,939,1012,879,911,949,851,1040,892,806,955,852,833,878,752,876,701,759,722,817,808,817,691,721,725,669,667,667,627,728,653,696,596,653,600,599
sad,268,304,322,257,325,276,293,298,262,275,270,270,242,238,254,261,202,228,253,244,250,209,269,208,223,227,189,196,192,179,214,197,213,186,191,183,215,168,186,213,174,191,208,196,229,205,211,223,210,205,215,178,222,219,208,237,219,213,213,184,206,207,186,214,201,220,261,236,271,277,291,261,211,267,273,307,312,322,336,325,330,338,342,367,344,366,375,398,438,406,385,422,486,460,404,437,421,466,411,479,455,552,460,486,500,422,507,493,490,482,504,474,434,488,411,468,475,428,449,416,405,460,372,396,357,380,397,392,397,362,331,408,380,358,332,343,319,337,303,378,328,312,340,322
